Academic_ID,Student_ID,Subject,Exam_Type,Rote_Learning_Score,Conceptual_Understanding_Score,Practical_Project_Score
4117,STU1515,Maths,Finals,66,80,82
4118,STU1515,Science,Finals,62,77,86
4119,STU1515,Coding,Finals,72,80,70
4120,STU1515,Civic Sense,Finals,77,62,80
4121,STU1516,Maths,Term 1,81,80,78
4122,STU1516,Science,Term 1,84,82,73
4123,STU1516,Coding,Term 1,72,68,77
4124,STU1516,Civic Sense,Term 1,70,66,75
4125,STU1516,Maths,Finals,69,84,73
4126,STU1516,Science,Finals,59,64,71
4127,STU1516,Coding,Finals,61,82,69
4128,STU1516,Civic Sense,Finals,59,65,87
4129,STU1517,Maths,Term 1,75,63,84
4130,STU1517,Science,Term 1,64,68,69
4131,STU1517,Coding,Term 1,66,77,86
4132,STU1517,Civic Sense,Term 1,82,83,83
4133,STU1517,Maths,Finals,59,82,86
4134,STU1517,Science,Finals,76,80,70
4135,STU1517,Coding,Finals,60,83,76
4136,STU1517,Civic Sense,Finals,67,61,77
4137,STU1518,Maths,Term 1,83,79,75
4138,STU1518,Science,Term 1,61,71,85
4139,STU1518,Coding,Term 1,56,72,72
4140,STU1518,Civic Sense,Term 1,81,80,88
4141,STU1518,Maths,Finals,70,85,72
4142,STU1518,Science,Finals,57,80,68
4143,STU1518,Coding,Finals,72,61,73
4144,STU1518,Civic Sense,Finals,67,81,80
4145,STU1519,Maths,Term 1,81,67,65
4146,STU1519,Science,Term 1,70,81,75
4147,STU1519,Coding,Term 1,62,77,74
4148,STU1519,Civic Sense,Term 1,79,63,85
4149,STU1519,Maths,Finals,72,70,69
4150,STU1519,Science,Finals,55,81,67
4151,STU1519,Coding,Finals,62,84,77
4152,STU1519,Civic Sense,Finals,60,72,86
4153,STU1520,Maths,Term 1,39,46,52
4154,STU1520,Science,Term 1,37,43,55
4155,STU1520,Coding,Term 1,41,37,42
4156,STU1520,Civic Sense,Term 1,40,48,48
4157,STU1520,Maths,Finals,70,66,81
4158,STU1520,Science,Finals,65,73,72
4159,STU1520,Coding,Finals,60,67,81
4160,STU1520,Civic Sense,Finals,57,78,78
4161,STU1521,Maths,Term 1,48,46,50
4162,STU1521,Science,Term 1,40,38,48
4163,STU1521,Coding,Term 1,30,43,42
4164,STU1521,Civic Sense,Term 1,48,48,52
4165,STU1521,Maths,Finals,73,71,80
4166,STU1521,Science,Finals,69,80,81
4167,STU1521,Coding,Finals,60,66,85
4168,STU1521,Civic Sense,Finals,55,69,70
4169,STU1522,Maths,Term 1,68,65,86
4170,STU1522,Science,Term 1,55,62,84
4171,STU1522,Coding,Term 1,82,80,80
4172,STU1522,Civic Sense,Term 1,58,64,88
4173,STU1522,Maths,Finals,76,62,69
4174,STU1522,Science,Finals,64,62,71
4175,STU1522,Coding,Finals,73,67,87
4176,STU1522,Civic Sense,Finals,68,79,77
4177,STU1523,Maths,Term 1,73,80,79
4178,STU1523,Science,Term 1,67,61,83
4179,STU1523,Coding,Term 1,71,75,71
4180,STU1523,Civic Sense,Term 1,57,65,78
4181,STU1523,Maths,Finals,70,75,72
4182,STU1523,Science,Finals,57,85,84
4183,STU1523,Coding,Finals,79,65,69
4184,STU1523,Civic Sense,Finals,69,80,77
4185,STU1524,Maths,Term 1,55,74,75
4186,STU1524,Science,Term 1,77,78,81
4187,STU1524,Coding,Term 1,72,79,80
4188,STU1524,Civic Sense,Term 1,75,77,78
4189,STU1524,Maths,Finals,66,67,85
4190,STU1524,Science,Finals,84,66,85
4191,STU1524,Coding,Finals,76,78,87
4192,STU1524,Civic Sense,Finals,77,69,71
4193,STU1525,Maths,Term 1,32,45,52
4194,STU1525,Science,Term 1,40,34,46
4195,STU1525,Coding,Term 1,30,41,50
4196,STU1525,Civic Sense,Term 1,35,32,43
4197,STU1525,Maths,Finals,59,66,75
4198,STU1525,Science,Finals,58,67,81
4199,STU1525,Coding,Finals,55,76,85
4200,STU1525,Civic Sense,Finals,67,73,79
4201,STU1526,Maths,Term 1,69,85,74
4202,STU1526,Science,Term 1,70,60,87
4203,STU1526,Coding,Term 1,56,60,69
4204,STU1526,Civic Sense,Term 1,68,77,79
4205,STU1526,Maths,Finals,67,69,74
4206,STU1526,Science,Finals,72,81,78
4207,STU1526,Coding,Finals,70,72,74
4208,STU1526,Civic Sense,Finals,73,74,83
4209,STU1527,Maths,Term 1,64,62,78
4210,STU1527,Science,Term 1,81,66,77
4211,STU1527,Coding,Term 1,83,71,78
4212,STU1527,Civic Sense,Term 1,77,61,73
4213,STU1527,Maths,Finals,82,70,66
4214,STU1527,Science,Finals,55,73,72
4215,STU1527,Coding,Finals,66,70,87
4216,STU1527,Civic Sense,Finals,62,75,71
4217,STU1528,Maths,Term 1,42,33,53
4218,STU1528,Science,Term 1,49,30,54
4219,STU1528,Coding,Term 1,44,27,43
4220,STU1528,Civic Sense,Term 1,50,43,51
4221,STU1528,Maths,Finals,59,77,77
4222,STU1528,Science,Finals,65,71,71
4223,STU1528,Coding,Finals,66,79,70
4224,STU1528,Civic Sense,Finals,60,76,81
4225,STU1529,Maths,Term 1,46,30,54
4226,STU1529,Science,Term 1,43,46,46
4227,STU1529,Coding,Term 1,43,34,47
4228,STU1529,Civic Sense,Term 1,32,35,49
4229,STU1529,Maths,Finals,71,75,82
4230,STU1529,Science,Finals,66,74,83
4231,STU1529,Coding,Finals,68,72,79
4232,STU1529,Civic Sense,Finals,65,73,79
4233,STU1530,Maths,Term 1,64,82,73
4234,STU1530,Science,Term 1,80,62,74
4235,STU1530,Coding,Term 1,74,63,77
4236,STU1530,Civic Sense,Term 1,73,79,83
4237,STU1530,Maths,Finals,62,84,84
4238,STU1530,Science,Finals,62,82,73
4239,STU1530,Coding,Finals,63,78,79
4240,STU1530,Civic Sense,Finals,64,67,83
4241,STU1531,Maths,Term 1,98,92,90
4242,STU1531,Science,Term 1,90,90,93
4243,STU1531,Coding,Term 1,86,97,95
4244,STU1531,Civic Sense,Term 1,98,90,99
4245,STU1531,Maths,Finals,100,99,93
4246,STU1531,Science,Finals,93,89,93
4247,STU1531,Coding,Finals,90,89,90
4248,STU1531,Civic Sense,Finals,99,90,90
4249,STU1532,Maths,Term 1,58,75,66
4250,STU1532,Science,Term 1,70,70,74
4251,STU1532,Coding,Term 1,83,76,76
4252,STU1532,Civic Sense,Term 1,61,69,85
4253,STU1532,Maths,Finals,77,85,78
4254,STU1532,Science,Finals,66,70,80
4255,STU1532,Coding,Finals,80,78,69
4256,STU1532,Civic Sense,Finals,82,84,69
4257,STU1533,Maths,Term 1,30,26,49
4258,STU1533,Science,Term 1,38,43,53
4259,STU1533,Coding,Term 1,39,37,42
4260,STU1533,Civic Sense,Term 1,34,48,47
4261,STU1533,Maths,Finals,73,66,70
4262,STU1533,Science,Finals,59,76,73
4263,STU1533,Coding,Finals,59,68,76
4264,STU1533,Civic Sense,Finals,69,75,82
4265,STU1534,Maths,Term 1,97,91,95
4266,STU1534,Science,Term 1,95,98,100
4267,STU1534,Coding,Term 1,100,88,98
4268,STU1534,Civic Sense,Term 1,98,100,91
4269,STU1534,Maths,Finals,91,89,94
4270,STU1534,Science,Finals,96,96,94
4271,STU1534,Coding,Finals,91,92,95
4272,STU1534,Civic Sense,Finals,97,94,93
4273,STU1535,Maths,Term 1,37,42,51
4274,STU1535,Science,Term 1,31,31,49
4275,STU1535,Coding,Term 1,35,31,53
4276,STU1535,Civic Sense,Term 1,35,46,44
4277,STU1535,Maths,Finals,56,72,76
4278,STU1535,Science,Finals,64,79,79
4279,STU1535,Coding,Finals,60,73,83
4280,STU1535,Civic Sense,Finals,61,68,70
4281,STU1536,Maths,Term 1,76,74,87
4282,STU1536,Science,Term 1,73,73,81
4283,STU1536,Coding,Term 1,78,82,86
4284,STU1536,Civic Sense,Term 1,80,81,77
4285,STU1536,Maths,Finals,80,77,65
4286,STU1536,Science,Finals,56,77,85
4287,STU1536,Coding,Finals,65,82,87
4288,STU1536,Civic Sense,Finals,83,64,83
4289,STU1537,Maths,Term 1,97,100,99
4290,STU1537,Science,Term 1,86,90,100
4291,STU1537,Coding,Term 1,87,98,100
4292,STU1537,Civic Sense,Term 1,100,95,94
4293,STU1537,Maths,Finals,87,95,94
4294,STU1537,Science,Finals,91,88,94
4295,STU1537,Coding,Finals,91,93,90
4296,STU1537,Civic Sense,Finals,89,91,98
4297,STU1538,Maths,Term 1,81,71,66
4298,STU1538,Science,Term 1,60,65,82
4299,STU1538,Coding,Term 1,74,68,78
4300,STU1538,Civic Sense,Term 1,67,70,70
4301,STU1538,Maths,Finals,69,84,75
4302,STU1538,Science,Finals,78,84,70
4303,STU1538,Coding,Finals,61,66,69
4304,STU1538,Civic Sense,Finals,71,64,84
4305,STU1539,Maths,Term 1,55,64,65
4306,STU1539,Science,Term 1,59,70,77
4307,STU1539,Coding,Term 1,73,63,71
4308,STU1539,Civic Sense,Term 1,61,60,72
4309,STU1539,Maths,Finals,55,67,71
4310,STU1539,Science,Finals,63,73,79
4311,STU1539,Coding,Finals,69,62,88
4312,STU1539,Civic Sense,Finals,77,63,86
4313,STU1540,Maths,Term 1,99,93,90
4314,STU1540,Science,Term 1,99,94,92
4315,STU1540,Coding,Term 1,100,97,99
4316,STU1540,Civic Sense,Term 1,96,100,95
4317,STU1540,Maths,Finals,92,99,90
4318,STU1540,Science,Finals,90,92,100
4319,STU1540,Coding,Finals,96,91,90
4320,STU1540,Civic Sense,Finals,87,90,93
4321,STU1541,Maths,Term 1,72,84,73
4322,STU1541,Science,Term 1,81,75,70
4323,STU1541,Coding,Term 1,62,60,71
4324,STU1541,Civic Sense,Term 1,63,82,69
4325,STU1541,Maths,Finals,56,64,82
4326,STU1541,Science,Finals,64,74,67
4327,STU1541,Coding,Finals,80,78,88
4328,STU1541,Civic Sense,Finals,80,84,65
4329,STU1542,Maths,Term 1,35,30,44
4330,STU1542,Science,Term 1,39,26,51
4331,STU1542,Coding,Term 1,31,39,53
4332,STU1542,Civic Sense,Term 1,38,46,54
4333,STU1542,Maths,Finals,58,80,85
4334,STU1542,Science,Finals,65,73,83
4335,STU1542,Coding,Finals,58,70,78
4336,STU1542,Civic Sense,Finals,56,77,81
4337,STU1543,Maths,Term 1,62,77,79
4338,STU1543,Science,Term 1,59,85,86
4339,STU1543,Coding,Term 1,70,80,69
4340,STU1543,Civic Sense,Term 1,65,76,67
4341,STU1543,Maths,Finals,60,64,75
4342,STU1543,Science,Finals,74,61,83
4343,STU1543,Coding,Finals,80,82,75
4344,STU1543,Civic Sense,Finals,67,72,82
4345,STU1544,Maths,Term 1,63,76,88
4346,STU1544,Science,Term 1,78,64,72
4347,STU1544,Coding,Term 1,70,67,85
4348,STU1544,Civic Sense,Term 1,61,74,83
4349,STU1544,Maths,Finals,79,62,70
4350,STU1544,Science,Finals,58,64,67
4351,STU1544,Coding,Finals,57,61,68
4352,STU1544,Civic Sense,Finals,71,74,81
4353,STU1545,Maths,Term 1,41,47,53
4354,STU1545,Science,Term 1,49,26,42
4355,STU1545,Coding,Term 1,44,26,55
4356,STU1545,Civic Sense,Term 1,39,47,41
4357,STU1545,Maths,Finals,75,72,74
4358,STU1545,Science,Finals,66,68,78
4359,STU1545,Coding,Finals,66,70,80
4360,STU1545,Civic Sense,Finals,58,80,73
4361,STU1546,Maths,Term 1,59,75,77
4362,STU1546,Science,Term 1,78,68,72
4363,STU1546,Coding,Term 1,62,77,79
4364,STU1546,Civic Sense,Term 1,60,65,65
4365,STU1546,Maths,Finals,66,69,69
4366,STU1546,Science,Finals,59,63,77
4367,STU1546,Coding,Finals,60,72,86
4368,STU1546,Civic Sense,Finals,65,81,73
4369,STU1547,Maths,Term 1,75,72,71
4370,STU1547,Science,Term 1,84,66,88
4371,STU1547,Coding,Term 1,78,60,87
4372,STU1547,Civic Sense,Term 1,72,66,71
4373,STU1547,Maths,Finals,64,69,74
4374,STU1547,Science,Finals,69,60,74
4375,STU1547,Coding,Finals,71,76,80
4376,STU1547,Civic Sense,Finals,71,79,83
4377,STU1548,Maths,Term 1,85,92,97
4378,STU1548,Science,Term 1,85,100,92
4379,STU1548,Coding,Term 1,85,93,99
4380,STU1548,Civic Sense,Term 1,97,100,98
4381,STU1548,Maths,Finals,96,89,99
4382,STU1548,Science,Finals,95,91,100
4383,STU1548,Coding,Finals,99,95,94
4384,STU1548,Civic Sense,Finals,90,94,96
4385,STU1549,Maths,Term 1,61,65,84
4386,STU1549,Science,Term 1,78,70,78
4387,STU1549,Coding,Term 1,62,68,70
4388,STU1549,Civic Sense,Term 1,69,75,80
4389,STU1549,Maths,Finals,65,85,70
4390,STU1549,Science,Finals,60,71,83
4391,STU1549,Coding,Finals,59,60,78
4392,STU1549,Civic Sense,Finals,57,72,76
4393,STU1550,Maths,Term 1,59,85,84
4394,STU1550,Science,Term 1,59,60,85
4395,STU1550,Coding,Term 1,66,78,88
4396,STU1550,Civic Sense,Term 1,84,65,69
4397,STU1550,Maths,Finals,73,69,68
4398,STU1550,Science,Finals,57,70,78
4399,STU1550,Coding,Finals,61,61,69
4400,STU1550,Civic Sense,Finals,73,70,75
4401,STU1551,Maths,Term 1,77,78,77
4402,STU1551,Science,Term 1,62,73,72
4403,STU1551,Coding,Term 1,69,81,88
4404,STU1551,Civic Sense,Term 1,80,64,85
4405,STU1551,Maths,Finals,68,65,84
4406,STU1551,Science,Finals,78,69,86
4407,STU1551,Coding,Finals,79,65,66
4408,STU1551,Civic Sense,Finals,68,72,67
4409,STU1552,Maths,Term 1,63,79,81
4410,STU1552,Science,Term 1,55,80,86
4411,STU1552,Coding,Term 1,72,70,68
4412,STU1552,Civic Sense,Term 1,61,66,88
4413,STU1552,Maths,Finals,58,67,85
4414,STU1552,Science,Finals,72,84,66
4415,STU1552,Coding,Finals,56,68,83
4416,STU1552,Civic Sense,Finals,72,67,87
4417,STU1553,Maths,Term 1,87,98,91
4418,STU1553,Science,Term 1,90,90,91
4419,STU1553,Coding,Term 1,90,100,91
4420,STU1553,Civic Sense,Term 1,96,99,94
4421,STU1553,Maths,Finals,88,99,95
4422,STU1553,Science,Finals,89,94,98
4423,STU1553,Coding,Finals,98,96,97
4424,STU1553,Civic Sense,Finals,97,92,90
4425,STU1554,Maths,Term 1,48,28,50
4426,STU1554,Science,Term 1,38,42,41
4427,STU1554,Coding,Term 1,42,34,49
4428,STU1554,Civic Sense,Term 1,34,46,40
4429,STU1554,Maths,Finals,56,77,75
4430,STU1554,Science,Finals,73,80,84
4431,STU1554,Coding,Finals,75,80,77
4432,STU1554,Civic Sense,Finals,65,75,82
4433,STU1555,Maths,Term 1,64,72,88
4434,STU1555,Science,Term 1,64,84,88
4435,STU1555,Coding,Term 1,58,79,78
4436,STU1555,Civic Sense,Term 1,78,64,71
4437,STU1555,Maths,Finals,64,81,70
4438,STU1555,Science,Finals,58,79,69
4439,STU1555,Coding,Finals,77,73,69
4440,STU1555,Civic Sense,Finals,60,62,71
4441,STU1556,Maths,Term 1,64,82,67
4442,STU1556,Science,Term 1,56,69,70
4443,STU1556,Coding,Term 1,74,68,82
4444,STU1556,Civic Sense,Term 1,61,85,68
4445,STU1556,Maths,Finals,64,83,80
4446,STU1556,Science,Finals,71,78,87
4447,STU1556,Coding,Finals,82,63,67
4448,STU1556,Civic Sense,Finals,70,79,79
4449,STU1557,Maths,Term 1,79,73,83
4450,STU1557,Science,Term 1,74,79,84
4451,STU1557,Coding,Term 1,63,78,87
4452,STU1557,Civic Sense,Term 1,71,63,85
4453,STU1557,Maths,Finals,60,76,87
4454,STU1557,Science,Finals,61,63,88
4455,STU1557,Coding,Finals,72,60,66
4456,STU1557,Civic Sense,Finals,62,73,78
4457,STU1558,Maths,Term 1,78,82,88
4458,STU1558,Science,Term 1,60,82,65
4459,STU1558,Coding,Term 1,56,60,76
4460,STU1558,Civic Sense,Term 1,84,66,88
4461,STU1558,Maths,Finals,60,77,75
4462,STU1558,Science,Finals,61,77,77
4463,STU1558,Coding,Finals,61,63,65
4464,STU1558,Civic Sense,Finals,65,80,66
4465,STU1559,Maths,Term 1,60,68,72
4466,STU1559,Science,Term 1,83,76,72
4467,STU1559,Coding,Term 1,72,82,65
4468,STU1559,Civic Sense,Term 1,84,71,82
4469,STU1559,Maths,Finals,77,65,78
4470,STU1559,Science,Finals,81,85,84
4471,STU1559,Coding,Finals,60,81,83
4472,STU1559,Civic Sense,Finals,79,79,66
4473,STU1560,Maths,Term 1,42,42,53
4474,STU1560,Science,Term 1,35,39,53
4475,STU1560,Coding,Term 1,37,32,45
4476,STU1560,Civic Sense,Term 1,47,31,52
4477,STU1560,Maths,Finals,61,71,85
4478,STU1560,Science,Finals,68,67,80
4479,STU1560,Coding,Finals,75,68,82
4480,STU1560,Civic Sense,Finals,60,77,84
4481,STU1561,Maths,Term 1,43,42,49
4482,STU1561,Science,Term 1,33,25,42
4483,STU1561,Coding,Term 1,36,29,45
4484,STU1561,Civic Sense,Term 1,36,32,44
4485,STU1561,Maths,Finals,58,72,81
4486,STU1561,Science,Finals,60,79,72
4487,STU1561,Coding,Finals,71,80,80
4488,STU1561,Civic Sense,Finals,55,77,85
4489,STU1562,Maths,Term 1,58,80,66
4490,STU1562,Science,Term 1,68,84,85
4491,STU1562,Coding,Term 1,78,71,83
4492,STU1562,Civic Sense,Term 1,60,60,85
4493,STU1562,Maths,Finals,83,77,81
4494,STU1562,Science,Finals,58,80,73
4495,STU1562,Coding,Finals,62,84,67
4496,STU1562,Civic Sense,Finals,74,64,79
4497,STU1563,Maths,Term 1,68,63,79
4498,STU1563,Science,Term 1,84,76,87
4499,STU1563,Coding,Term 1,58,71,83
4500,STU1563,Civic Sense,Term 1,68,78,82
4501,STU1563,Maths,Finals,75,67,82
4502,STU1563,Science,Finals,77,69,76
4503,STU1563,Coding,Finals,76,75,70
4504,STU1563,Civic Sense,Finals,78,81,65
4505,STU1564,Maths,Term 1,89,99,96
4506,STU1564,Science,Term 1,97,93,96
4507,STU1564,Coding,Term 1,97,100,92
4508,STU1564,Civic Sense,Term 1,96,97,91
4509,STU1564,Maths,Finals,89,93,97
4510,STU1564,Science,Finals,91,92,99
4511,STU1564,Coding,Finals,90,93,95
4512,STU1564,Civic Sense,Finals,92,97,94
4513,STU1565,Maths,Term 1,75,80,65
4514,STU1565,Science,Term 1,79,74,88
4515,STU1565,Coding,Term 1,64,64,83
4516,STU1565,Civic Sense,Term 1,82,79,65
4517,STU1565,Maths,Finals,69,68,85
4518,STU1565,Science,Finals,70,64,84
4519,STU1565,Coding,Finals,68,73,83
4520,STU1565,Civic Sense,Finals,64,62,79
4521,STU1566,Maths,Term 1,67,75,65
4522,STU1566,Science,Term 1,72,60,82
4523,STU1566,Coding,Term 1,80,79,79
4524,STU1566,Civic Sense,Term 1,64,81,86
4525,STU1566,Maths,Finals,70,68,82
4526,STU1566,Science,Finals,66,81,84
4527,STU1566,Coding,Finals,82,78,74
4528,STU1566,Civic Sense,Finals,67,68,67
4529,STU1567,Maths,Term 1,91,100,99
4530,STU1567,Science,Term 1,94,89,96
4531,STU1567,Coding,Term 1,99,91,94
4532,STU1567,Civic Sense,Term 1,99,96,100
4533,STU1567,Maths,Finals,95,91,96
4534,STU1567,Science,Finals,88,94,94
4535,STU1567,Coding,Finals,85,92,94
4536,STU1567,Civic Sense,Finals,95,88,99
4537,STU1568,Maths,Term 1,75,76,77
4538,STU1568,Science,Term 1,83,60,75
4539,STU1568,Coding,Term 1,60,63,66
4540,STU1568,Civic Sense,Term 1,60,72,69
4541,STU1568,Maths,Finals,69,61,77
4542,STU1568,Science,Finals,67,69,82
4543,STU1568,Coding,Finals,74,61,65
4544,STU1568,Civic Sense,Finals,81,77,70
4545,STU1569,Maths,Term 1,81,68,76
4546,STU1569,Science,Term 1,71,63,72
4547,STU1569,Coding,Term 1,55,77,82
4548,STU1569,Civic Sense,Term 1,73,77,71
4549,STU1569,Maths,Finals,82,81,66
4550,STU1569,Science,Finals,65,75,74
4551,STU1569,Coding,Finals,76,77,82
4552,STU1569,Civic Sense,Finals,62,79,84
4553,STU1570,Maths,Term 1,63,83,68
4554,STU1570,Science,Term 1,72,71,78
4555,STU1570,Coding,Term 1,82,67,65
4556,STU1570,Civic Sense,Term 1,59,74,76
4557,STU1570,Maths,Finals,84,60,66
4558,STU1570,Science,Finals,55,66,66
4559,STU1570,Coding,Finals,76,71,88
4560,STU1570,Civic Sense,Finals,67,84,86
4561,STU1571,Maths,Term 1,73,84,84
4562,STU1571,Science,Term 1,66,80,71
4563,STU1571,Coding,Term 1,55,71,77
4564,STU1571,Civic Sense,Term 1,64,63,82
4565,STU1571,Maths,Finals,63,84,83
4566,STU1571,Science,Finals,61,74,82
4567,STU1571,Coding,Finals,76,69,78
4568,STU1571,Civic Sense,Finals,69,78,66
4569,STU1572,Maths,Term 1,70,83,65
4570,STU1572,Science,Term 1,75,63,81
4571,STU1572,Coding,Term 1,70,65,78
4572,STU1572,Civic Sense,Term 1,83,80,66
4573,STU1572,Maths,Finals,55,63,85
4574,STU1572,Science,Finals,79,66,78
4575,STU1572,Coding,Finals,66,82,68
4576,STU1572,Civic Sense,Finals,56,67,73
4577,STU1573,Maths,Term 1,94,92,92
4578,STU1573,Science,Term 1,86,94,97
4579,STU1573,Coding,Term 1,93,98,95
4580,STU1573,Civic Sense,Term 1,98,96,96
4581,STU1573,Maths,Finals,96,90,94
4582,STU1573,Science,Finals,86,94,92
4583,STU1573,Coding,Finals,89,89,95
4584,STU1573,Civic Sense,Finals,96,97,99
4585,STU1574,Maths,Term 1,70,64,75
4586,STU1574,Science,Term 1,84,73,70
4587,STU1574,Coding,Term 1,60,65,68
4588,STU1574,Civic Sense,Term 1,74,60,75
4589,STU1574,Maths,Finals,62,66,85
4590,STU1574,Science,Finals,75,81,74
4591,STU1574,Coding,Finals,69,85,65
4592,STU1574,Civic Sense,Finals,63,75,74
4593,STU1575,Maths,Term 1,67,69,82
4594,STU1575,Science,Term 1,64,81,75
4595,STU1575,Coding,Term 1,66,79,72
4596,STU1575,Civic Sense,Term 1,74,73,75
4597,STU1575,Maths,Finals,60,63,72
4598,STU1575,Science,Finals,72,67,75
4599,STU1575,Coding,Finals,55,75,67
4600,STU1575,Civic Sense,Finals,59,69,75
4601,STU1576,Maths,Term 1,61,63,70
4602,STU1576,Science,Term 1,77,79,66
4603,STU1576,Coding,Term 1,55,83,72
4604,STU1576,Civic Sense,Term 1,67,64,86
4605,STU1576,Maths,Finals,60,62,67
4606,STU1576,Science,Finals,84,82,80
4607,STU1576,Coding,Finals,62,84,85
4608,STU1576,Civic Sense,Finals,59,80,79
4609,STU1577,Maths,Term 1,68,84,73
4610,STU1577,Science,Term 1,72,80,82
4611,STU1577,Coding,Term 1,78,67,84
4612,STU1577,Civic Sense,Term 1,66,77,75
4613,STU1577,Maths,Finals,77,81,75
4614,STU1577,Science,Finals,72,70,70
4615,STU1577,Coding,Finals,60,78,86
4616,STU1577,Civic Sense,Finals,64,65,86
4617,STU1578,Maths,Term 1,89,99,95
4618,STU1578,Science,Term 1,88,94,91
4619,STU1578,Coding,Term 1,95,95,95
4620,STU1578,Civic Sense,Term 1,87,95,91
4621,STU1578,Maths,Finals,86,93,90
4622,STU1578,Science,Finals,86,93,94
4623,STU1578,Coding,Finals,87,92,97
4624,STU1578,Civic Sense,Finals,99,92,94
4625,STU1579,Maths,Term 1,79,71,85
4626,STU1579,Science,Term 1,61,71,69
4627,STU1579,Coding,Term 1,64,74,81
4628,STU1579,Civic Sense,Term 1,78,83,88
4629,STU1579,Maths,Finals,64,63,79
4630,STU1579,Science,Finals,58,71,83
4631,STU1579,Coding,Finals,64,82,83
4632,STU1579,Civic Sense,Finals,69,66,73
4633,STU1580,Maths,Term 1,83,79,71
4634,STU1580,Science,Term 1,56,70,72
4635,STU1580,Coding,Term 1,70,76,82
4636,STU1580,Civic Sense,Term 1,55,67,71
4637,STU1580,Maths,Finals,58,76,71
4638,STU1580,Science,Finals,68,62,67
4639,STU1580,Coding,Finals,77,66,72
4640,STU1580,Civic Sense,Finals,81,80,81
4641,STU1581,Maths,Term 1,90,94,90
4642,STU1581,Science,Term 1,100,96,98
4643,STU1581,Coding,Term 1,90,100,98
4644,STU1581,Civic Sense,Term 1,87,93,92
4645,STU1581,Maths,Finals,100,96,97
4646,STU1581,Science,Finals,91,88,94
4647,STU1581,Coding,Finals,98,90,95
4648,STU1581,Civic Sense,Finals,87,93,92
4649,STU1582,Maths,Term 1,39,38,50
4650,STU1582,Science,Term 1,36,35,47
4651,STU1582,Coding,Term 1,45,41,41
4652,STU1582,Civic Sense,Term 1,33,41,43
4653,STU1582,Maths,Finals,66,78,85
4654,STU1582,Science,Finals,61,74,78
4655,STU1582,Coding,Finals,67,80,72
4656,STU1582,Civic Sense,Finals,70,79,82
4657,STU1583,Maths,Term 1,97,97,91
4658,STU1583,Science,Term 1,94,91,93
4659,STU1583,Coding,Term 1,97,90,99
4660,STU1583,Civic Sense,Term 1,93,94,100
4661,STU1583,Maths,Finals,98,92,95
4662,STU1583,Science,Finals,86,97,99
4663,STU1583,Coding,Finals,85,99,90
4664,STU1583,Civic Sense,Finals,88,88,98
4665,STU1584,Maths,Term 1,65,75,72
4666,STU1584,Science,Term 1,73,60,82
4667,STU1584,Coding,Term 1,83,67,86
4668,STU1584,Civic Sense,Term 1,77,70,70
4669,STU1584,Maths,Finals,58,82,67
4670,STU1584,Science,Finals,72,79,78
4671,STU1584,Coding,Finals,76,76,74
4672,STU1584,Civic Sense,Finals,83,69,70
4673,STU1585,Maths,Term 1,67,68,88
4674,STU1585,Science,Term 1,71,84,81
4675,STU1585,Coding,Term 1,64,79,86
4676,STU1585,Civic Sense,Term 1,74,83,79
4677,STU1585,Maths,Finals,73,71,79
4678,STU1585,Science,Finals,60,77,76
4679,STU1585,Coding,Finals,81,84,80
4680,STU1585,Civic Sense,Finals,65,80,87
4681,STU1586,Maths,Term 1,79,76,69
4682,STU1586,Science,Term 1,71,83,68
4683,STU1586,Coding,Term 1,81,78,66
4684,STU1586,Civic Sense,Term 1,60,64,67
4685,STU1586,Maths,Finals,69,83,83
4686,STU1586,Science,Finals,69,83,82
4687,STU1586,Coding,Finals,74,81,86
4688,STU1586,Civic Sense,Finals,82,80,67
4689,STU1587,Maths,Term 1,94,96,98
4690,STU1587,Science,Term 1,91,98,99
4691,STU1587,Coding,Term 1,99,89,97
4692,STU1587,Civic Sense,Term 1,85,93,99
4693,STU1587,Maths,Finals,94,92,95
4694,STU1587,Science,Finals,88,100,94
4695,STU1587,Coding,Finals,91,94,97
4696,STU1587,Civic Sense,Finals,90,96,96
4697,STU1588,Maths,Term 1,88,89,92
4698,STU1588,Science,Term 1,91,98,90
4699,STU1588,Coding,Term 1,91,96,98
4700,STU1588,Civic Sense,Term 1,95,100,96
4701,STU1588,Maths,Finals,88,100,91
4702,STU1588,Science,Finals,92,97,97
4703,STU1588,Coding,Finals,87,92,95
4704,STU1588,Civic Sense,Finals,85,88,99
4705,STU1589,Maths,Term 1,82,83,83
4706,STU1589,Science,Term 1,75,65,68
4707,STU1589,Coding,Term 1,69,74,83
4708,STU1589,Civic Sense,Term 1,56,71,75
4709,STU1589,Maths,Finals,59,77,78
4710,STU1589,Science,Finals,84,73,83
4711,STU1589,Coding,Finals,61,67,76
4712,STU1589,Civic Sense,Finals,57,80,86
4713,STU1590,Maths,Term 1,71,77,65
4714,STU1590,Science,Term 1,79,83,79
4715,STU1590,Coding,Term 1,78,60,86
4716,STU1590,Civic Sense,Term 1,65,66,69
4717,STU1590,Maths,Finals,76,72,65
4718,STU1590,Science,Finals,78,83,68
4719,STU1590,Coding,Finals,58,78,72
4720,STU1590,Civic Sense,Finals,80,78,67
4721,STU1591,Maths,Term 1,47,29,55
4722,STU1591,Science,Term 1,39,29,50
